trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,0,13.253442245023475,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,7,1.2881269455069875,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,0,-116.11475137481314,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",25,5,-2.945037742554294,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",20,16,6.276050787277622,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",30,0,-61.66887545884218,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",30,7,-19.33640593530591,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",25,6,-6.174086067153676,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,9,6.228719474535571,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.3362164937067333}",20,0,-66.01773672681594,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,2,-13.62435172807638,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",20,8,12.017365784258446,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",25,20,7.892479717013755,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,5,-20.536985705736498,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",20,0,13.362530461401112,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,2,-19.168446544137417,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",25,12,-35.69325673675039,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",20,0,-64.3133080627632,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",20,1,-45.571568630813736,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",20,4,-47.9658792956625,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",20,0,16.21025979368509,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",25,7,1.5172787062250164,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",20,3,2.4588086054766594,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,0,-99.24680296864355,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",20,0,2.265375503701457,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,9,16.568203985611195,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",20,13,14.127371587416834,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",20,0,-44.08401583117428,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",20,0,5.860765104378092,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",25,13,-23.564741344902433,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",20,0,3.6629693135636368,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",25,12,-69.10643039497465,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,16,14.670402694607258,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,0,-41.27126946473909,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
134,False,"{'a': 0.01, 'e': 0.261845668580326}",20,10,15.805131389877966,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",25,0,-81.41719613728183,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",25,18,11.91110555242839,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",25,5,-73.42824421555076,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",1
